title,author_name,rating,ratings,year
Heartstopper: Volume Four,Alice Oseman,4.67,227360,2021
Heartstopper: Volume Three,Alice Oseman,4.63,273686,2020
Heartstopper: Volume Two,Alice Oseman,4.6,316062,2019
Queen of Shadows,Sarah J. Maas,4.56,412140,2015
Empire of Storms,Sarah J. Maas,4.56,343879,2016
Heartstopper: Volume One,Alice Oseman,4.53,430677,2018
Reminders of Him,Colleen Hoover,4.52,523841,2022
House of Earth and Blood,Sarah J. Maas,4.48,312233,2020
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.47,1520986,2017
Heir of Fire,Sarah J. Maas,4.46,473089,2014
The House in the Cerulean Sea,T.J. Klune,4.45,358972,2020
Lover Awakened,J.R. Ward,4.44,173335,2006
Clockwork Prince,Cassandra Clare,4.43,515519,2011
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4.43,224628,2020
A Court of Wings and Ruin,Sarah J. Maas,4.43,655054,2017
Winter,Marissa Meyer,4.43,245936,2015
Cress,Marissa Meyer,4.42,332040,2014
A ​Court of Silver Flames,Sarah J. Maas,4.41,380727,2021
The Song of Achilles,Madeline Miller,4.38,950167,2011
Voyager,Diana Gabaldon,4.38,286958,1993
It Ends with Us,Colleen Hoover,4.38,1641804,2016
The Queen of Nothing,Holly Black,4.37,396096,2019
Crown of Midnight,Sarah J. Maas,4.36,554931,2013
Heart Bones,Colleen Hoover,4.35,224754,2020
Love and Other Words,Christina Lauren,4.35,215451,2018
All Rhodes Lead Here,Mariana Zapata,4.35,70129,2021
Drums of Autumn,Diana Gabaldon,4.34,232769,1996
From Lukov with Love,Mariana Zapata,4.34,144173,2018
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,4.34,476866,2012
The Wicked King,Holly Black,4.34,445996,2019
The Simple Wild,Becky Albertalli,4.33,72371,2018
Archer's Voice,Mia Sheridan,4.33,183482,2014
Dragonfly in Amber,Diana Gabaldon,4.33,327326,1992
The Hunger Games,Suzanne Collins,4.32,7591926,2008
Clockwork Angel,Cassandra Clare,4.32,776513,2010
Reflected in You,Sylvia Day,4.31,334677,2012
Lover Unbound,J.R. Ward,4.31,129500,2007
Kulti,Mariana Zapata,4.31,95837,2015
Gone with the Wind,Margaret Mitchell,4.3,1160178,1936
Catching Fire,Suzanne Collins,4.3,3064538,2009
City of Glass,Cassandra Clare,4.29,901506,2009
From Blood and Ash,Jennifer L. Armentrout,4.29,325849,2020
The Love Hypothesis,Ali Hazelwood,4.29,724017,2021
November 9,Colleen Hoover,4.29,532191,2015
Hopeless,Colleen Hoover,4.29,383899,2012
The Love Hypothesis,Ali Hazelwood,4.29,724017,2021
The Wall of Winnipeg and Me,Mariana Zapata,4.27,181562,2016
The Deal,Elle Kennedy,4.27,431337,2015
The Princess Bride,William Goldman,4.26,852415,1973
Me Before You,Jojo Moyes,4.26,1436094,2012
Scarlet,Marissa Meyer,4.26,377397,2013
Outlander,Diana Gabaldon,4.25,957461,1991
Rebecca,Daphne du Maurier,4.24,556837,1938
Devil in Winter,Lisa Kleypas,4.24,77013,2006
Point of Retreat,Colleen Hoover,4.24,163696,2012
City of Lost Souls,Cassandra Clare,4.23,493192,2012
Slammed,Colleen Hoover,4.22,254688,2012
The Invisible Life of Addie LaRue,V.E. Schwab,4.22,686794,2020
Ugly Love,Colleen Hoover,4.22,929379,2014
Regretting You,Colleen Hoover,4.22,287156,2019
The Edge of Never,J.A. Redmerski,4.22,146564,2012
Safe Haven,Nicholas Sparks,4.21,363661,2010
The Score,Elle Kennedy,4.21,195637,2016
Carry On,Rainbow Rowell,4.2,280623,2015
Five Feet Apart,Rachael Lippincott,4.2,173328,2018
Delilah Green Doesn't Care,Ashley Herring Blake,4.2,26876,2022
Simon vs. the Homo Sapiens Agenda,Becky Albertalli,4.2,389450,2015
A Court of Thorns and Roses,Sarah J. Maas,4.19,1141409,2015
Unravel Me,Tahereh Mafi,4.18,310275,2013
On Dublin Street,Samantha Young,4.18,189455,2012
The Happy Ever After Playlist,Abby Jimenez,4.17,68882,2020
The One,Kiera Cass,4.17,574496,2014
"Red, White & Royal Blue",Casey McQuiston,4.16,607767,2019
A Thousand Boy Kisses,Tillie Cole,4.16,102788,2016
Legend,Marie Lu,4.16,487553,2011
Fallen Too Far,Abbi Glines,4.16,169269,2012
The Fault in Our Stars,John Green,4.16,4501032,2012
Divergent,Veronica Roth,4.16,3540949,2011
"Act Your Age, Eve Brown",Talia Hibbert,4.16,64493,2021
Dark Lover,J.R. Ward,4.16,320970,2005
Bared to You,Sylvia Day,4.16,498707,2012
The Last Song,Nicholas Sparks,4.15,536546,2008
Obsidian,Jennifer L. Armentrout,4.15,267374,2011
Jane Eyre,Charlotte Brontë,4.14,1896342,1847
All the Bright Places,Jennifer Niven,4.14,471843,2015
Memoirs of a Geisha,Arthur Golden,4.14,1885367,1997
City of Ashes,Cassandra Clare,4.13,865831,2008
Call Me By Your Name,André Aciman,4.13,389241,2007
Halfway to the Grave,Jeaniene Frost,4.13,151672,2007
The Notebook,Nicholas Sparks,4.13,1537458,1996
Vision in White,Nora Roberts,4.12,134276,2009
The Truth About Forever,Sarah Dessen,4.12,218798,2004
The Lucky One,Nicholas Sparks,4.12,347631,2007
Vampire Academy,Richelle Mead,4.11,614151,2007
Love & Gelato,Jenna Evans Welch,4.1,102568,2016
Water for Elephants,Sara Gruen,4.1,1520037,2006
One True Loves,Sarah MacLean,4.1,164083,2016
Boyfriend Material,Alexis  Hall,4.09,81105,2020
Seven Days in June,Gayle Forman,4.09,78605,2021
The Cruel Prince,Holly Black,4.09,721361,2018
Slave to Sensation,Nalini Singh,4.09,70446,2006
City of Fallen Angels,Cassandra Clare,4.09,559039,2011
City of Bones,Cassandra Clare,4.08,1860270,2007
Sense and Sensibility,Jane Austen,4.08,1092091,1811
The Sweetest Oblivion,Danielle Lori,4.08,143376,2018
Easy,Tammara Webber,4.08,225554,2012
It Happened One Summer,Tessa Bailey,4.07,255193,2021
The Wrath and the Dawn,Renée Ahdieh,4.07,160644,2015
To All the Boys I've Loved Before,Jenny Han,4.07,739461,2014
Love on the Brain,Ali Hazelwood,4.07,87537,2022
Beach Read,Emily Henry,4.06,607628,2020
"Take a Hint, Dani Brown",Talia Hibbert,4.06,75803,2020
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,4.05,124688,2017
P.S. I Still Love You,Jenny Han,4.05,321648,2015
The Mistake,Elle Kennedy,4.05,225576,2015
Pushing the Limits,Katie McGarry,4.05,121285,2012
The Flatshare,Beth O'Leary,4.04,276885,2019
Dear John,Nicholas Sparks,4.04,577789,2006
The Soulmate Equation,Christina Lauren,4.04,136796,2021
Emma,Jane Austen,4.04,784651,1815
Playing for Keeps,R.L. Mathewson,4.03,111514,2011
The Night Circus,Erin Morgenstern,4.03,849454,2011
Scandal in Spring,Lisa Kleypas,4.03,48206,2006
Secrets of a Summer Night,Lisa Kleypas,4.03,67926,2004
P.S. I Love You,Cecelia Ahern,4.03,365580,2004
Red Queen,Victoria Aveyard,4.03,833765,2015
Serpent & Dove,Shelby Mahurin,4.03,220662,2019
The Rosie Project,Graeme Simsion,4.02,516559,2013
One Last Stop,Casey McQuiston,4.01,154210,2021
When He Was Wicked,Julia Quinn,4.01,124412,2004
The Sun Is Also a Star,Nicola Yoon,4.01,281659,2016
Isla and the Happily Ever After,Stephanie Perkins,4.01,113789,2014
The Heart Principle,Helen Hoang,4.01,82190,2021
The Fine Print,Lauren Asher,4.01,118844,2021
A Discovery of Witches,Deborah Harkness,4.01,445677,2011
Wallbanger,Alice Clayton,4.01,198768,2012
Vicious,L.J. Shen,4.01,111719,2016
It's in His Kiss,Julia Quinn,4.01,105907,2005
The Duchess Deal,Tessa Dare,4.0,48340,2017
Birthday Girl,Penelope Douglas,4.0,155589,2018
"Everything, Everything",Nicola Yoon,4.0,539107,2015
Insurgent,Veronica Roth,3.99,1367875,2012
The Switch,Beth O'Leary,3.99,95605,2020
Daughter of Smoke & Bone,Laini Taylor,3.99,352283,2011
Where She Went,Lisa Kleypas,3.99,282137,2011
My Life Next Door,Huntley Fitzpatrick,3.98,147935,2012
Looking for Alaska,John Green,3.98,1408442,2005
The Goal,Elle Kennedy,3.98,132250,2016
The Hating Game,Sally  Thorne,3.98,537504,2016
Message in a Bottle,Nicholas Sparks,3.97,227762,1998
Eleanor & Park,Rainbow Rowell,3.97,1066165,2012
The Spanish Love Deception,Elena  Armas,3.97,377868,2021
Bringing Down the Duke,Evie Dunmore,3.97,63015,2019
The Elite,Kiera Cass,3.97,645722,2013
Beautiful Bastard,Christina Lauren,3.96,187771,2013
Tweet Cute,Emma Lord,3.96,52886,2020
Romancing Mister Bridgerton,Julia Quinn,3.96,188360,2002
The Winner's Curse,Marie Rutkoski,3.96,105328,2014
This is How You Lose the Time War,Amal El-Mohtar,3.96,100491,2019
You Deserve Each Other,Sarah Hogle,3.95,77084,2020
An Offer From a Gentleman,Julia Quinn,3.95,192481,2001
Paper Princess,Erin Watt,3.95,126593,2016
Shadow and Bone,Leigh Bardugo,3.95,776233,2012
"Hush, Hush",Becca Fitzpatrick,3.94,660659,2009
Bully,Penelope Douglas,3.94,161031,2013
I've Got Your Number,Sophie Kinsella,3.94,214926,2011
A Rogue by Any Other Name,Sarah MacLean,3.93,40424,2012
Bet Me,Jennifer Crusie,3.93,90477,2004
Lola and the Boy Next Door,Stephanie Perkins,3.92,160612,2011
Truth or Beard,Penny Reid,3.91,46697,2015
The Chase,Elle Kennedy,3.91,109987,2018
The Governess Game,Tessa Dare,3.91,27195,2018
Written in the Stars,Alexandria Bellefleur,3.91,31978,2020
The Bromance Book Club,Lyssa Kay Adams,3.91,77742,2019
One to Watch,(Pseudonym),3.91,81435,2020
Shatter Me,Tahereh Mafi,3.9,517418,2011
The Friend Zone,Abby Jimenez,3.9,88892,2019
Neanderthal Seeks Human,Penny Reid,3.9,60932,2013
Crazy Rich Asians,Kevin Kwan,3.89,430349,2013
Soulless,Gail Carriger,3.89,107608,2009
Romancing the Duke,Tessa Dare,3.89,40861,2014
Attachments,Rainbow Rowell,3.88,190317,2011
The Bride Test,Helen Hoang,3.87,131144,2019
What If It's Us,David Nicholls,3.86,121957,2018
Mansfield Park,Charlaine Harris,3.86,321831,1814
A Touch of Darkness,Scarlett St.  Clair,3.85,142444,2019
Well Met,Jen DeLuca,3.85,58786,2019
The Host,Stephenie Meyer,3.85,963467,2008
The Summer I Turned Pretty,Jenny Han,3.84,396929,2009
Northanger Abbey,Jane Austen,3.84,356726,1817
Fifty Shades Freed,E.L. James,3.84,795618,2012
On the Way to the Wedding,Julia Quinn,3.84,89776,2006
They Both Die at the End,Adam Silvera,3.84,515457,2017
Addicted to You,Krista Ritchie,3.84,87419,2013
If I Never Met You,Mhairi McFarlane,3.84,53076,2020
Normal People,Sally Rooney,3.83,948855,2018
Fifty Shades Darker,E.L. James,3.83,837476,2011
Roomies,Christina Lauren,3.82,58406,2017
The Duke and I,Julia Quinn,3.82,356433,2000
The Duchess War,Courtney Milan,3.82,26223,2012
Corrupt,Penelope Douglas,3.81,138238,2015
A Court of Frost and Starlight,Sarah J. Maas,3.8,433701,2018
Twisted Love,Ana Huang,3.78,156928,2021
