title,author_name,rating,ratings,year
Kingdom of Ash,Sarah J. Maas,4.62,261600,2018
Redeeming Love,Francine Rivers,4.5,273997,1991
Ignite Me,Tahereh Mafi,4.45,262482,2014
An Echo in the Bone,Diana Gabaldon,4.43,139381,2009
A Breath of Snow and Ashes,Diana Gabaldon,4.43,163691,2005
Beard Science,Penny Reid,4.41,31256,2016
Part of Your World,Abby Jimenez,4.41,54863,2022
Lover Mine,J.R. Ward,4.39,109537,2010
Lady Midnight,Cassandra Clare,4.37,209164,2016
Last Sacrifice,Richelle Mead,4.37,275495,2010
Lover Avenged,J.R. Ward,4.36,111849,2009
Spirit Bound,Richelle Mead,4.33,281912,2010
Cemetery Boys,Aiden Thomas,4.33,63034,2020
Burn for Me,Ilona Andrews,4.32,53398,2014
Blood Promise,Richelle Mead,4.31,299530,2009
Wait for It,Mariana Zapata,4.31,69159,2016
The Sea of Tranquility,Katja Millay,4.3,83835,2012
The Bronze Horseman,Paullina Simons,4.3,78595,2000
Kiss the Sky,Krista Ritchie,4.29,47515,2014
Losing Hope,Colleen Hoover,4.29,135445,2013
Him,Sarina Bowen,4.29,47672,2015
One Foot in the Grave,Jeaniene Frost,4.29,101508,2008
Howl’s Moving Castle,Diana Wynne Jones,4.28,284025,1986
Tower of Dawn,Sarah J. Maas,4.28,246170,2017
Strange the Dreamer,Laini Taylor,4.28,107451,2017
Better Than the Movies,Lynn Painter,4.27,56775,2021
Opal,Jennifer L. Armentrout,4.26,143863,2012
The Gamble,Kristen Ashley,4.26,57504,2011
Onyx,Jennifer L. Armentrout,4.25,171763,2012
Lovely War,Julie Berry,4.25,44230,2019
The Secret,Julie Garwood,4.25,49646,1992
The Fiery Cross,Diana Gabaldon,4.24,195915,2001
Daisy Jones & The Six,Taylor Jenkins Reid,4.24,740691,2019
The Bride,Julie Garwood,4.23,62543,1989
The ​Crown of Gilded Bones,Jennifer L. Armentrout,4.23,160403,2021
The Witness,Nora Roberts,4.22,75491,2012
Born in Fire,Nora Roberts,4.22,71920,1994
Mystery Man,Kristen Ashley,4.21,70047,2011
Life's Too Short,Abby Jimenez,4.21,53005,2021
A Kingdom of Dreams,Judith McNaught,4.21,50780,1989
A Knight in Shining Armor,Jude Deveraux,4.2,35480,1989
Dance Upon the Air,Nora Roberts,4.2,68172,2001
