title,author_name,rating,ratings,year
Magic Slays,Ilona Andrews,4.4,70852,2011
Silver Borne,Patricia Briggs,4.38,102351,2010
Perfect,Judith McNaught,4.3,23473,1993
The Will,Kristen Ashley,4.29,29046,2014
Immortal in Death,J.D. Robb,4.28,51583,1996
The Sweet Gum Tree,Katherine Allred,4.27,29341,2005
Hunting Ground,Patricia Briggs,4.27,66592,2009
Driven,K. Bromberg,4.26,59370,2013
Play of Passion,Nalini Singh,4.23,27951,2010
Never Love a Highlander,Maya Banks,4.21,25853,2011
Finale,Stephanie Garber,4.21,96804,2019
The Iron Queen,Julie Kagawa,4.2,104266,2011
King,T.M. Frazier,4.17,43994,2015
Restore Me,Tahereh Mafi,4.17,116386,2018
The Sweetest Thing,Jill Shalvis,4.1,19800,2011
Happily Ever After,Kiera Cass,4.09,56952,2015
Sparrow,L.J. Shen,4.08,48585,2016
Hideaway,Penelope Douglas,4.08,58200,2017
The Girl You Left Behind,Jojo Moyes,4.01,153951,2012
Never Never: Part Two,Colleen Hoover,4.01,55286,2015
Blameless,Gail Carriger,3.99,39484,2010
My Favorite Mistake,Chelsea M. Cameron,3.98,55970,2012
The Duke Who Didn't,Courtney Milan,3.92,4475,2020
Polaris Rising,Jessie Mihalik,3.92,10458,2019
What I Did for Love,Susan Elizabeth Phillips,3.91,18807,2009
Covet,J.R. Ward,3.91,49252,2009
Barbarian Lover,Ruby Dixon,3.9,31023,2015
Rainshadow Road,Lisa Kleypas,3.87,15510,2012
Kiss of Steel,Bec McMaster,3.86,12266,2012
Minx,Julia Quinn,3.86,16764,1996
Bombshell,Sarah MacLean,3.82,8823,2021
Tess of the D’Urbervilles,Thomas Hardy,3.82,264435,1891
The Proposal,Mary Balogh,3.82,11343,2012
Dead Reckoning,Charlaine Harris,3.8,122829,2011
Trade Me,Courtney Milan,3.75,5305,2015
