title,author_name,rating,ratings,year
Acheron,Sherrilyn Kenyon,4.56,58019,2008
House of Sky and Breath,Sarah J. Maas,4.52,151116,2022
Kiss of Snow,Nalini Singh,4.45,30080,2011
Lord of Shadows,Cassandra Clare,4.44,129104,2017
Kings Rising,C.S. Pacat,4.43,49858,2016
Demon from the Dark,Kresley Cole,4.43,46053,2010
Full Tilt,Emma   Scott,4.42,21057,2016
Reckless,S.C. Stephens,4.41,77124,2013
Lady Luck,Kristen Ashley,4.41,38174,2011
Lothaire,Kresley Cole,4.38,44918,2012
Pleasure of a Dark Prince,Kresley Cole,4.37,43345,2010
The King,J.R. Ward,4.36,52334,2014
The Indigo Spell,Richelle Mead,4.36,99921,2013
Seize the Night,Sherrilyn Kenyon,4.34,46888,2004
Night Play,Sherrilyn Kenyon,4.34,53073,2004
Breathe,Kristen Ashley,4.34,36423,2012
Dark Desires After Dusk,Kresley Cole,4.34,46777,2008
Almost Heaven,Judith McNaught,4.34,26999,1989
Hothouse Flower,Krista Ritchie,4.33,39279,2014
Bright Side,Kim Holden,4.33,45290,2014
Us,Sarina Bowen,4.32,26412,2016
Twisted Lies,Ana Huang,4.32,57535,2022
The Golden Lily,Richelle Mead,4.31,115487,2012
Something Wonderful,Judith McNaught,4.31,28330,1988
Rock Chick Rescue,Kristen Ashley,4.3,36458,2009
Blood Bound,Patricia Briggs,4.3,121647,2007
The Blue Castle,L.M. Montgomery,4.29,36734,1926
Dark Needs at Night's Edge,Kresley Cole,4.29,49180,2008
Sustained,Emma Chase,4.28,29349,2015
Glory in Death,J.D. Robb,4.27,59298,1995
Spell of the Highlander,Karen Marie Moning,4.27,26290,2005
This Side of the Grave,Jeaniene Frost,4.26,61607,2011
Branded by Fire,Nalini Singh,4.26,31242,2009
Addicted for Now,Krista Ritchie,4.26,42708,2013
Twice Tempted,Jeaniene Frost,4.26,41696,2013
Until You,Penelope Douglas,4.25,48336,2013
The Raven King,Maggie Stiefvater,4.25,129859,2016
Saving Grace,Julie Garwood,4.25,26972,1993
Valley of Silence,Nora Roberts,4.24,28563,2006
Honor's Splendour,Julie Garwood,4.23,31123,1987
Beauty from Pain,Georgia Cates,4.22,55542,2013
The Prize,Julie Garwood,4.22,29102,1991
The Dream Thieves,Maggie Stiefvater,4.22,182623,2013
The Winner's Kiss,Marie Rutkoski,4.22,46572,2016
The Obsession,Nora Roberts,4.21,71821,2016
Dance of Thieves,Mary E. Pearson,4.21,70427,2018
Collide,Gail McHugh,4.2,64734,2013
Gentle Rogue,Johanna Lindsey,4.2,21517,1990
The Opportunist,Tarryn Fisher,4.2,51392,2011
The Bird and the Sword,Amy Harmon,4.2,36320,2016
Own the Wind,Kristen Ashley,4.2,47464,2013
Beard in Mind,Penny Reid,4.2,22558,2017
Wild Man,Kristen Ashley,4.19,42456,2011
Smaragdgrün,Kerstin Gier,4.19,88106,2010
By a Thread,Lucy Score,4.19,52857,2020
Under the Whispering Door,T.J. Klune,4.19,102049,2021
Under the Whispering Door,T.J. Klune,4.19,102049,2021
Once and Always,Judith McNaught,4.18,25997,1987
Ruckus,L.J. Shen,4.18,49537,2017
Scandalous,L.J. Shen,4.18,45822,2017
Saphirblau,Kerstin Gier,4.17,97457,2010
Shelter Mountain,Robyn Carr,4.17,37378,2007
The Pagan Stone,Nora Roberts,4.17,30352,2008
Swear on This Life,Renee Carlino,4.16,36950,2016
The Mighty Storm,Samantha Towle,4.16,72206,2012
Dance of the Gods,Nora Roberts,4.16,29877,2006
The Darkest Minds,Alexandra Bracken,4.16,176313,2012
Seduction of a Highland Lass,Maya Banks,4.16,24224,2011
Stay with Me,Jennifer L. Armentrout,4.16,32339,2014
Top Secret,Sarina Bowen,4.15,17678,2019
World After,Susan Ee,4.15,100144,2013
A Not So Meet Cute,Meghan Quinn,4.15,60854,2021
Aristotle and Dante Dive into the Waters of the World,Benjamin Alire Sáenz,4.15,51341,2021
Dear Ava,Ilsa Madden-Mills,4.15,41261,2020
Once Upon a Broken Heart,Stephanie Garber,4.15,58490,2021
The Hollow,Nora Roberts,4.14,31799,2008
First Drop of Crimson,Jeaniene Frost,4.14,56219,2010
A Very Large Expanse of Sea,Tahereh Mafi,4.13,51694,2018
Fixed on You,Laurelin Paige,4.13,54771,2013
Black Hills,Nora Roberts,4.13,38453,2009
Sylvester,Georgette Heyer,4.13,15870,1957
Chasing Fire,Nora Roberts,4.13,38137,2011
Second Chance Summer,Morgan Matson,4.13,50899,2012
Royally Matched,Emma Chase,4.12,22965,2017
Release Me,J. Kenner,4.12,77852,2013
Love Hacked,Penny Reid,4.12,24306,2014
Because of Low,Abbi Glines,4.12,55748,2012
The Darkest Temptation,Danielle Lori,4.12,65357,2020
Destroy Me,Tahereh Mafi,4.11,137383,2012
"It Ain't Me, Babe",Tillie Cole,4.1,43938,2014
The Game Plan,Kristen Callihan,4.1,29269,2015
The Stopover,T.L. Swan,4.1,83232,2019
